date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:27	18405/18405	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Aug%202026%2016:23:17%20GMT	https://www.framer.com/creators-assets/_next/image/?url=https%3A%2F%2Fy4pdgnepgswqffpt.public.blob.vercel-storage.com%2Fcomponents%2FkShEti6yJFrcvEUsMxzb%2Fconfidential-folder-TB6jk5kME4qj61Wb2USBv4ty8vdDYM&w=3840&q=90	./wearestokt-mirror/www.framer.com/creators-assets/_next/image/index4e4c.html	(from https://www.framer.com/marketplace/components/)
13:48:29	1044916/1044916	---M-Z	200	added ('OK')	text/html	etag:%22cfc7c9b91081c5499a54d7aa435fa17a%22	https://www.framer.com/dictionary/code-splitting	./wearestokt-mirror/www.framer.com/dictionary/code-splitting.html	(from https://www.framer.com/performance/)
13:48:30	183267/183267	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Aug%202026%2008:48:27%20GMT	https://www.framer.com/marketplace/components/confidential-folder/	./wearestokt-mirror/www.framer.com/marketplace/components/confidential-folder/index.html	(from https://www.framer.com/marketplace/components/)
13:48:30	178882/178882	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Aug%202026%2008:48:27%20GMT	https://www.framer.com/marketplace/components/interactivebook/	./wearestokt-mirror/www.framer.com/marketplace/components/interactivebook/index.html	(from https://www.framer.com/marketplace/components/)
13:48:30	205960/205960	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Aug%202026%2013:19:41%20GMT	https://www.framer.com/creators-assets/_next/image/?url=https%3A%2F%2Fy4pdgnepgswqffpt.public.blob.vercel-storage.com%2Fcomponents%2F24KyqEDfxg4nxqaSUBKV%2Finteractivebook-66RmvPIlrPpeOAZCWRZmcs5qpFKJ3T&w=3840&q=90	./wearestokt-mirror/www.framer.com/creators-assets/_next/image/index0221.html	(from https://www.framer.com/marketplace/components/)
13:48:31	200356/200356	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Aug%202026%2008:48:29%20GMT	https://www.framer.com/marketplace/components/instagram-carousel/	./wearestokt-mirror/www.framer.com/marketplace/components/instagram-carousel/index.html	(from https://www.framer.com/marketplace/components/)
13:48:31	99689/99689	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Aug%202026%2000:34:32%20GMT	https://www.framer.com/creators-assets/_next/image/?url=https%3A%2F%2Fy4pdgnepgswqffpt.public.blob.vercel-storage.com%2Fmedia%2Fecd9a75e-186e-4108-b610-b38c2c88eaec%2Fowh1w221&w=3840&q=90	./wearestokt-mirror/www.framer.com/creators-assets/_next/image/index6559.html	(from https://www.framer.com/marketplace/components/)
13:48:32	1054505/1054505	---M-Z	200	added ('OK')	text/html	etag:%22feab76374b19a0511089be8b603d59ab%22	https://www.framer.com/dictionary/responsive-images	./wearestokt-mirror/www.framer.com/dictionary/responsive-images.html	(from https://www.framer.com/performance/)
13:48:32	212570/212570	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Aug%202026%2008:48:30%20GMT	https://www.framer.com/marketplace/components/stacked-flow/	./wearestokt-mirror/www.framer.com/marketplace/components/stacked-flow/index.html	(from https://www.framer.com/marketplace/components/)
13:48:33	144792/144792	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Aug%202026%2013:44:50%20GMT	https://www.framer.com/creators-assets/_next/image/?url=https%3A%2F%2Fy4pdgnepgswqffpt.public.blob.vercel-storage.com%2Fmedia%2F2179b778-b2d7-4c1e-ab27-60e7e12a6593%2F019fbd91-d98c-72ee-af3f-10dd8e2fa9c8.jpg&w=3840&q=90	./wearestokt-mirror/www.framer.com/creators-assets/_next/image/index637a.html	(from https://www.framer.com/marketplace/components/)
